date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:52:12	140/140	---MCZ	200	added ('OK')	text/plain	etag:W/%221916162-1723070877;br%22	https://beautyring.info/robots.txt		(from )
18:52:13	163809/163809	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2022:52:12%20GMT	https://beautyring.info/	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/beautyring_info/beautyring.info/index.html	(from )
18:52:13	4965/4965	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2007%20Aug%202024%2022:52:13%20GMT	https://beautyring.info/xmlrpc.php	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/beautyring_info/beautyring.info/xmlrpc.php	(from https://beautyring.info/)
18:52:14	5903/5903	---M--	200	added ('OK')	image/jpeg	etag:%22170f-64359f72-8075a2eb889402a;;;%22	https://beautyring.info/wp-content/uploads/2023/04/beautyring.jpeg	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/beautyring_info/beautyring.info/wp-content/uploads/2023/04/beautyring.jpg	(from https://beautyring.info/)
18:52:15	2075/2075	---MCZ	200	added ('OK')	text/css	etag:W/%22b96-63f1b394-62556218ebe1924e;br%22	https://beautyring.info/wp-content/plugins/td-api-plugin/css/style.css?ver=6.6.1	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/beautyring_info/beautyring.info/wp-content/plugins/td-api-plugin/css/styleb6a4.css	(from https://beautyring.info/)
18:52:16	5454/5454	---MCZ	200	added ('OK')	text/css	etag:W/%221558-6696abd7-1766b68af12e193d;br%22	https://beautyring.info/wp-content/plugins/td-newsletter/style.css?ver=5.4.3	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/beautyring_info/beautyring.info/wp-content/plugins/td-newsletter/style00d1.css	(from https://beautyring.info/)
18:52:18	111312/111312	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22d3072164e646a97cd59bab7cffcfdd95%22	https://beautyring.info/feed/	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/beautyring_info/beautyring.info/feed/index.html	(from https://beautyring.info/)
18:52:18	111811/111811	---MCZ	200	added ('OK')	text/css	etag:W/%222572a-6696aba8-532a4c0392052b62;br%22	https://beautyring.info/wp-content/themes/Newsmag/style.css?ver=5.4.3	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/beautyring_info/beautyring.info/wp-content/themes/Newsmag/style00d1.css	(from https://beautyring.info/)
18:52:19	6079/6079	---MCZ	200	added ('OK')	text/css	etag:W/%221da0-6696abb7-d1a4aa41e453262;br%22	https://beautyring.info/wp-content/plugins/td-composer/legacy/Newsmag/includes/demos/scandal/demo_style.css?ver=5.4.3	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/beautyring_info/beautyring.info/wp-content/plugins/td-composer/legacy/Newsmag/includes/demos/scandal/demo_style00d1.css	(from https://beautyring.info/)
18:52:20	473735/473735	---MCZ	200	added ('OK')	text/css	etag:W/%2293612-6696abb7-aa98df9dd0832dd8;br%22	https://beautyring.info/wp-content/plugins/td-composer/legacy/Newsmag/assets/css/td_legacy_main.css?ver=e5fcc38395b0030bac3ad179898970d6	/Volumes/EXT2TBSSD/WP_Static_Site_Migration_to_GIT/httrack/beautyring_info/beautyring.info/wp-content/plugins/td-composer/legacy/Newsmag/assets/css/td_legacy_mainef70.css	(from https://beautyring.info/)
